"chapter_id","block_id","sequence_number","element_type","section_path","xhtml_path","source_element_id","pdf_physical_page","pdf_printed_page","english_text","russian_text","source_html","asset_ids","table_id","formula_id","code_id","link_ids","term_candidates","formatting_markers","translation_status","qa_status","batch_id","version"
"CH09","CH09-B0121","121","p","9.2 Transforming signals to uncover hidden structure > Path signature features","/*/*[2]/*/*[98]","","253","212","The same general principle will reappear in later chapters in learned form. Temporal convolutional networks, recurrent models, and transformer encoders also transform raw sequences into richer internal representations and then expose hidden states, embeddings, or forecasts as features.","Тот же общий принцип в последующих главах вновь появится уже в обучаемой форме. Временные свёрточные сети, рекуррентные модели и кодировщики-трансформеры также преобразуют исходные последовательности в более содержательные внутренние представления, а затем предоставляют скрытые состояния, векторные представления или прогнозы в качестве признаков.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.382.1"">
     The same general principle will reappear in later chapters in learned form.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.382.2"">
     Temporal convolutional networks, recurrent models, and transformer encoders also transform raw sequences into richer internal representations and then expose hidden states, embeddings, or forecasts as features.
    </span>
   </p>
   ","","","","","","","","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0122","122","p","9.2 Transforming signals to uncover hidden structure > Path signature features","/*/*[2]/*/*[99]/*","","242","201","Implementation : See 06_path_signatures for the mathematical formulation (iterated integrals, log-signatures, time augmentation), computation using the esig library, and a head-to-head comparison against traditional lag features.","Реализация: в `06_path_signatures` представлены математическая формулировка (итерированные интегралы, лог-сигнатуры, дополнение временной координатой), вычисления с использованием библиотеки `esig` и прямое сравнение с традиционными лаговыми признаками.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
     <strong class=""screenText"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.383.1"">
       Implementation
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.384.1"">
      : See
     </span>
     <code class=""inlineCode"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.385.1"">
       06_path_signatures
      </span>
     </code>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.386.1"">
      for the mathematical formulation (iterated integrals, log-signatures, time augmentation), computation using the
     </span>
     <code class=""inlineCode"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.387.1"">
       esig
      </span>
     </code>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.388.1"">
      library, and a head-to-head comparison against traditional lag features.
     </span>
    </p>
   ","","","","","","","strong,code","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0123","123","p","9.2 Transforming signals to uncover hidden structure > Path signature features","/*/*[2]/*/*[100]","","253","212","With latent state, frequency, scale, and path structure now available as features, the next section turns to volatility—the single most predictable property of financial time series—and shows how fitted models such as GARCH, EGARCH, HAR, and rough-volatility estimators convert that predictability into production features.","Теперь, когда в качестве признаков доступны скрытое состояние, частота, масштаб и структура траектории, в следующем разделе рассматривается волатильность — наиболее предсказуемое свойство финансовых временных рядов — и показывается, как оценённые модели, такие как GARCH, EGARCH и HAR, а также методы оценки шероховатой волатильности преобразуют эту предсказуемость в признаки, пригодные для промышленной эксплуатации.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.389.1"">
     With latent state, frequency, scale, and path structure now available as features, the next section turns to volatility—the single most predictable property of financial time series—and shows how fitted models such as GARCH, EGARCH, HAR, and rough-volatility estimators convert that predictability into production features.
    </span>
   </p>
   ","","","","","","","","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0124","124","h1","9.3 Volatility Features","/*/*[2]/*/*[101]","_idParaDest-384","253","212","9.3 Volatility Features","9.3 Признаки волатильности","<h1 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-1"" id=""_idParaDest-384"">
    <a id=""_idTextAnchor373"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.390.1"">
     9.3 Volatility Features
    </span>
   </h1>
   ","","","","","","","a","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0125","125","p","9.3 Volatility Features","/*/*[2]/*/*[102]","","253","212","Chapter 8 introduced direct volatility measures built from observed prices, including close-to-close realized volatility and range-based estimators such as Parkinson (1980), Garman and Klass (1980), and Yang and Zhang (2000). Those measures efficiently summarize price variation, but they remain backward-looking summaries. This section turns to fitted volatility models and treats their outputs as features. The aim is not to replace the direct measures from Chapter 8 , but to model how volatility evolves through time and to extract point-in-time safe summaries from that fitted dynamics.","В главе 8 были представлены непосредственные меры волатильности, построенные по наблюдаемым ценам, включая реализованную волатильность от закрытия до закрытия и диапазонные оценки, такие как оценки Паркинсона (1980), Гармана — Класса (1980) и Янга — Чжана (2000). Эти меры эффективно обобщают изменения цен, но остаются ретроспективными характеристиками. В этом разделе рассматриваются оценённые модели волатильности, а их результаты используются как признаки. Цель состоит не в том, чтобы заменить непосредственные меры из главы 8, а в том, чтобы смоделировать изменение волатильности во времени и извлечь из этой оценённой динамики сводные характеристики, корректные на момент времени.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <em class=""italic"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.391.1"">
      Chapter 8
     </span>
    </em>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.392.1"">
     introduced direct volatility measures built from observed prices, including close-to-close realized volatility and range-based estimators such as Parkinson (1980), Garman and Klass (1980), and Yang and Zhang (2000).
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.392.2"">
     Those measures efficiently summarize price variation, but they remain
    </span>
    <a id=""_idIndexMarker1270"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.393.1"">
     backward-looking summaries.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.393.2"">
     This section turns to fitted
    </span>
    <a id=""_idIndexMarker1271"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.394.1"">
     volatility models and treats their outputs as features.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.394.2"">
     The aim is not to replace the direct measures from
    </span>
    <em class=""italic"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.395.1"">
      Chapter 8
     </span>
    </em>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.396.1"">
     , but to model how volatility evolves through time and to extract point-in-time safe summaries from that fitted dynamics.
    </span>
   </p>
   ","","","","","","","em,a","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0126","126","p","9.3 Volatility Features","/*/*[2]/*/*[103]","","253","212","Fitted volatility models provide three kinds of information that direct aggregation does not:","Оценённые модели волатильности предоставляют три вида информации, недоступной при непосредственном агрегировании:","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.397.1"">
     Fitted volatility models provide three kinds of information that direct aggregation does not:
    </span>
   </p>
   ","","","","","","","","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0127","127","li","9.3 Volatility Features","/*/*[2]/*/*[104]/*[1]","","253","212","They produce conditional volatility estimates that update as new shocks arrive","Они формируют оценки условной волатильности, которые обновляются по мере поступления новых шоков","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.398.1"">
      They produce
     </span>
     <strong class=""keyWord"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.399.1"">
       conditional volatility
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.400.1"">
      estimates
     </span>
     <a id=""_idIndexMarker1272"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.401.1"">
      that update as new shocks arrive
     </span>
    </li>
    ","","","","","","","strong,a","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0128","128","li","9.3 Volatility Features","/*/*[2]/*/*[104]/*[2]","","253","212","Some models separate short-, medium-, and long-horizon contributions to current volatility","Некоторые модели разделяют вклад краткосрочного, среднесрочного и долгосрочного горизонтов в текущую волатильность","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.402.1"">
      Some models separate short-, medium-, and long-horizon contributions to current volatility
     </span>
    </li>
    ","","","","","","","","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0129","129","li","9.3 Volatility Features","/*/*[2]/*/*[104]/*[3]","","253","212","They expose parameters that describe persistence and asymmetry, which are often informative in their own right","Они предоставляют параметры, описывающие устойчивость и асимметрию, которые зачастую информативны сами по себе","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.403.1"">
      They expose parameters that describe persistence and asymmetry, which are often informative in their own right
     </span>
    </li>
   ","","","","","","","","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0130","130","p","9.3 Volatility Features","/*/*[2]/*/*[105]","","253","212","Throughout this section, the model is the feature extractor. Conditional variance paths, persistence measures, leverage parameters, and horizon-specific components are incorporated into later machine learning pipelines alongside the direct features from Chapter 8 .","На протяжении всего этого раздела модель выступает средством извлечения признаков. Траектории условной дисперсии, меры устойчивости, параметры эффекта левериджа и компоненты для отдельных горизонтов включаются в последующие конвейеры машинного обучения наряду с непосредственными признаками из главы 8.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.404.1"">
     Throughout this section, the model is the feature extractor.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.404.2"">
     Conditional variance paths, persistence measures, leverage parameters, and horizon-specific components are incorporated into later machine learning pipelines alongside the direct features from
    </span>
    <em class=""italic"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.405.1"">
      Chapter 8
     </span>
    </em>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.406.1"">
     .
    </span>
   </p>
   ","","","","","","","em","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0131","131","h2","9.3 Volatility Features > Autoregressive integrated moving average features","/*/*[2]/*/*[106]","_idParaDest-385","254","213","Autoregressive integrated moving average features","Признаки авторегрессионной интегрированной модели скользящего среднего","<h2 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-2"" id=""_idParaDest-385"">
    <a id=""_idTextAnchor374"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.407.1"">
     Autoregressive integrated moving average features
    </span>
   </h2>
   ","","","","","","","a","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
"CH09","CH09-B0132","132","p","9.3 Volatility Features > Autoregressive integrated moving average features","/*/*[2]/*/*[107]","","254","213","Autoregressive integrated moving average ( ARIMA ) plays a supporting role in this section. Its main use is to remove simple linear structure from a series before volatility modeling or to generate fitted features for ancillary series that are more predictable than daily returns. In practice, residuals are often the most useful output because they provide a de-meaned or de-trended input for later volatility models. For series such as realized volatility, bid-ask spreads, funding rates, or futures basis, the one-step forecast can also be used directly as a feature. For liquid daily returns, however, low-order ARIMA models usually add little as standalone predictors, so ARIMA belongs here mainly as a preprocessing and auxiliary-feature tool.","Авторегрессионная интегрированная модель скользящего среднего (ARIMA) играет в этом разделе вспомогательную роль. В основном она используется для устранения простой линейной структуры ряда перед моделированием волатильности либо для формирования оценённых признаков по вспомогательным рядам, которые лучше поддаются прогнозированию, чем дневные доходности. На практике наиболее полезным результатом часто оказываются остатки, поскольку они дают очищенные от среднего или тренда входные данные для последующих моделей волатильности. Для таких рядов, как реализованная волатильность, спреды между лучшими ценами покупки и продажи, ставки финансирования или базис фьючерсов, одношаговый прогноз также можно непосредственно использовать как признак. Однако для ликвидных дневных доходностей модели ARIMA низкого порядка обычно малоэффективны как самостоятельные предикторы, поэтому здесь ARIMA преимущественно служит инструментом предварительной обработки и формирования вспомогательных признаков.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <strong class=""keyWord"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.408.1"">
      Autoregressive integrated moving average
     </span>
    </strong>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.409.1"">
     (
    </span>
    <strong class=""keyWord"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.410.1"">
      ARIMA
     </span>
    </strong>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.411.1"">
     ) plays
    </span>
    <a id=""_idIndexMarker1273"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.412.1"">
     a supporting role in this section.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.412.2"">
     Its main use is to remove simple linear structure from a series before volatility modeling or to generate fitted features for ancillary series that are more predictable
    </span>
    <a id=""_idIndexMarker1274"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.413.1"">
     than daily returns.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.413.2"">
     In practice, residuals are often the most useful output because they provide a de-meaned or de-trended input for later volatility models.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.413.3"">
     For series such as realized volatility, bid-ask spreads, funding rates, or futures basis, the one-step forecast can also be used directly as a feature.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.413.4"">
     For liquid daily returns, however, low-order ARIMA models usually add little as standalone predictors, so ARIMA belongs here mainly as a preprocessing and auxiliary-feature tool.
    </span>
   </p>
   ","","","","","","","strong,a","TRANSLATED","QA_PASS","CH09-BATCH-004","v0.4-pilot"
