error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH09-ERR-001,2026-08-15,CH09,CH09-BATCH-001,,,QA_DOCUMENTATION_CONSISTENCY,production_contour,Blocker,,,Исходный реестр был Office-файлом и не поддерживал Sheets API,Препятствовало производственной записи,Использовать нативный реестр,Drive metadata,,,CLOSED,PASS,формат исходного реестра,,Историческая закрытая ошибка,Создан нативный реестр,PASS
CH09-ERR-002,2026-08-15,CH09,CH09-BATCH-001,CH09-B0019,,TERMINOLOGY,glossary_gap,Minor,Q-Q plot,График квантиль–квантиль (Q-Q),"Термин отсутствует в Glossary v1.14, но ранее был объявлен унифицированным без глоссарного решения",Промт требует регистрировать значимый отсутствующий термин,Принять и закрепить вариант в глоссарии либо заменить на утверждённый вариант,EPUB + Glossary v1.14,/*/*[2]/*/*[11]/*[3],physical 243 / printed 202,CLOSED,CONFIRMED,глоссарная запись добавлена в основной глоссарий,,GL-0318,Термин утверждён и сохранён в Glossary v1.14,PASS
CH09-ERR-003,2026-08-15,CH09,CH09-BATCH-001,CH09-B0013; CH09-B0017; CH09-B0018; CH09-B0019; CH09-B0022; CH09-B0027; CH09-B0028; CH09-B0029,,FORMATTING,systemic_inline_markup_loss,Major,Исходные strong/em,В target_html часть strong/em отсутствует,Системная потеря восьми наборов смыслового выделения после перестроения target_html,Нарушена структурная эквивалентность XHTML,Восстановить выделения на соответствующих русских смысловых фрагментах и повторно проверить каждый блок,EPUB XHTML vs target_html,multiple,physical 243–245 / printed 202–204,CLOSED,CONFIRMED,неполный перенос разметки, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-004,2026-08-15,CH09,CH09-BATCH-001,CH09-B0013,,STRONG_EM_BOUNDARY,missing_em,Minor,Section 9.2; Section 9.3; Section 9.4; Section 9.5; Section 9.6,раздел 9.2; раздел 9.3; раздел 9.4; раздел 9.5; раздел 9.6,Потеряны пять элементов em у ссылок на разделы,Выделение является частью исходной структуры,Восстановить em для пяти ссылок на разделы,EPUB XHTML,/*/*[2]/*/*[7],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-005,2026-08-15,CH09,CH09-BATCH-001,CH09-B0017,,STRONG_EM_BOUNDARY,missing_strong,Minor,autocorrelation function; ACF,Автокорреляционная функция; ACF,Потеряны два элемента strong,Термин и сокращение выделены в оригинале,Восстановить strong на русском термине и ACF,EPUB XHTML,/*/*[2]/*/*[11]/*[1],physical 242 / printed 201,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-006,2026-08-15,CH09,CH09-BATCH-001,CH09-B0018,,STRONG_EM_BOUNDARY,missing_strong,Minor,partial autocorrelation function; PACF,Частная автокорреляционная функция; PACF,Потеряны два элемента strong,Термин и сокращение выделены в оригинале,Восстановить strong на русском термине и PACF,EPUB XHTML,/*/*[2]/*/*[11]/*[2],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-007,2026-08-15,CH09,CH09-BATCH-001,CH09-B0019,,STRONG_EM_BOUNDARY,missing_strong,Minor,Q-Q plot,График квантиль–квантиль (Q-Q),Потерян элемент strong,Название графика выделено в оригинале,После глоссарного решения восстановить strong,EPUB XHTML,/*/*[2]/*/*[11]/*[3],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-008,2026-08-15,CH09,CH09-BATCH-001,CH09-B0022,,STRONG_EM_BOUNDARY,missing_em,Minor,Figure 9.1,рисунке 9.1,Потерян элемент em в ссылке на рисунок,Ссылка выделена курсивом в оригинале,Восстановить em на ссылке,EPUB XHTML,/*/*[2]/*/*[15],physical 243 / printed 202,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-009,2026-08-15,CH09,CH09-BATCH-001,CH09-B0027,,STRONG_EM_BOUNDARY,missing_strong,Minor,Augmented Dickey-Fuller; ADF; unit root,Расширенный тест Дики — Фуллера; ADF; единичный корень,Потеряны три элемента strong,Ключевые статистические термины выделены в оригинале,Восстановить три strong на эквивалентных фрагментах,EPUB XHTML,/*/*[2]/*/*[19]/*[1],physical 244 / printed 203,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-010,2026-08-15,CH09,CH09-BATCH-001,CH09-B0028,,STRONG_EM_BOUNDARY,missing_strong,Minor,Kwiatkowski-Phillips-Schmidt-Shin; KPSS,Тест Квятковского — Филлипса — Шмидта — Шина; KPSS,Потеряны два элемента strong,Термин и сокращение выделены в оригинале,Восстановить два strong,EPUB XHTML,/*/*[2]/*/*[19]/*[2],physical 244 / printed 203,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
CH09-ERR-011,2026-08-15,CH09,CH09-BATCH-001,CH09-B0029,,STRONG_EM_BOUNDARY,missing_strong,Minor,joint interpretation,Совместная интерпретация,Потерян элемент strong,Смысловой термин выделен в оригинале,Восстановить strong,EPUB XHTML,/*/*[2]/*/*[20],physical 244 / printed 203,CLOSED,CONFIRMED,, ,Исправление внесено в канонический реестр CH09,Исправлено в русском тексте/target_html или закреплено как решение главы,PASS
