error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH06-ERR-081,2026-08-16,CH06,CH06-BATCH-006,CH06-B0227,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,Choose a training window .,Выберите обучающее окно.,Incorrect PDF mapping 164/123; canonical text is on 179/138.,Exact text located in the rendered canonical PDF.,Update the batch metadata to physical 179 / printed 138.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[131]/*[1],179/138,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,Independent language and structural rechecks passed after integrator cycle 1.,pdf_physical_page/pdf_printed_page set to 179/138.,PASS: independent structural recheck confirmed PDF physical 179 / printed 138.,
CH06-ERR-082,2026-08-16,CH06,CH06-BATCH-006,CH06-B0238,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,"Example (FX 4-hour bars) : For an FX strategy that decides on 4-hour bars, “the close” depends on the venue and bar construction. If the decision snapshot is the 4-hour bar close, features must be computable from prices available at that close, and the execution assumption must specify whether the trade fires at the same close, the next bar open, or with a fixed delay. A one-bar shift can turn a realistic rule into leakage.","Пример (4-часовые бары FX): для стратегии FX, принимающей решения по 4-часовым барам, «цена закрытия» зависит от торговой площадки и способа формирования баров. Если снимок данных для принятия решения привязан к закрытию 4-часового бара, признаки должны быть вычислимы по ценам, доступным на момент этого закрытия, а допущение об исполнении должно указывать, совершается ли сделка по той же цене закрытия, по цене открытия следующего бара или с фиксированной задержкой. Сдвиг на один бар способен превратить реалистичное правило в правило с утечкой информации.",Incorrect PDF mapping 164/123; canonical text is on 180/139.,Exact text located in the rendered canonical PDF.,Update the batch metadata to physical 180 / printed 139.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[136],180/139,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,Independent language and structural rechecks passed after integrator cycle 1.,pdf_physical_page/pdf_printed_page set to 180/139.,PASS: independent structural recheck confirmed PDF physical 180 / printed 139.,
CH06-ERR-083,2026-08-16,CH06,CH06-BATCH-006,CH06-B0207,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"Model diagnostics answer a narrow question: can the model learn the label in a way that generalizes across time splits? Typical checks include loss or error, calibration, and stability across folds. If these fail, treat downstream trading results as difficult to interpret because the predictor is unstable. These checks do not require a cost model, position sizing, or portfolio simulation; they serve as an early gate that prevents overinterpreting noise.","Диагностика модели отвечает на узкий вопрос: может ли модель научиться предсказывать целевую метку так, чтобы её качество сохранялось при разных разбиениях по времени? Типичные проверки охватывают значение функции потерь или ошибки, калибровку вероятностей и устойчивость по блокам разбиения. Если эти проверки не пройдены, последующие результаты торговли трудно интерпретировать из-за нестабильности предиктора. Для таких проверок не требуются модель издержек, определение размера позиции или симуляция портфеля; они служат ранним фильтром, не позволяющим переоценить шум.",The approved GL-0068 form was shortened to «калибровка».,The glossary requires «калибровка вероятностей» in this model-prediction context.,Use the complete approved form.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[116]/*[1],177/136,VERIFIED_CLOSED,CONFIRMED,translator omitted the glossary qualifier,,Independent language and structural rechecks passed after integrator cycle 1.,«калибровка» replaced with «калибровка вероятностей».,PASS: independent language recheck confirmed GL-0068 and full-range consistency.,
CH06-ERR-084,2026-08-16,CH06,CH06-BATCH-006,CH06-B0217,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,naturalness,Low,"Standardization leakage: For derived features, computing inputs on the full dataset, instead of the training set alone. For example, using the mean and standard deviation to compute z-scores from the full data may reveal a distribution shift during the validation period.","Утечка при стандартизации: для производных признаков входные значения вычисляются по всему набору данных, а не только по обучающей выборке. Например, использование среднего значения и стандартного отклонения по всем данным для расчёта z-оценок может выдать информацию о сдвиге распределения в период проверки.",The phrase «раскрыть сдвиг распределения» was unnatural and unclear.,The source describes leakage of information about a distribution shift.,Use a natural phrase that preserves the leakage meaning.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[123]/*[2],178/137,VERIFIED_CLOSED,CONFIRMED,lexical calque,,Independent language and structural rechecks passed after integrator cycle 1.,Rephrased as «выдать информацию о сдвиге распределения».,PASS: independent language recheck confirmed meaning and naturalness.,
CH06-ERR-085,2026-08-16,CH06,CH06-BATCH-006,CH06-B0218,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,syntactic_calque,Low,"Threshold leakage: Setting thresholds using statistics computed from validation or test data. For example, choosing “enter when the z-score exceeds 2.0” after observing that 2.0 maximizes returns on the test period embeds future information in the trading rule.","Утечка при выборе порога: пороговые значения задаются по статистикам, рассчитанным на проверочных или тестовых данных. Например, если, увидев, что на тестовом периоде порог 2,0 максимизирует доходность, выбрать правило «входить в позицию, когда z-оценка превышает 2,0», то в торговое правило будет встроена информация из будущего.","The construction «после наблюдения того, что» copied English syntax.",Style guide requires natural Russian syntax.,"Recast the conditional example without changing 2.0/2,0 or its logic.",EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[123]/*[3],178/137,VERIFIED_CLOSED,CONFIRMED,literal syntax transfer,,Independent language and structural rechecks passed after integrator cycle 1.,"Sentence recast with «если, увидев, что…»; both numeric values preserved as 2,0.","PASS: independent language recheck confirmed logic, numbers and fluency.",
CH06-ERR-086,2026-08-16,CH06,CH06-BATCH-006,CH06-B0221,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LOCALIZATION,percent_spacing,Low,"Standard k-fold cross-validation trains on, say, 80% of randomly selected observations and validates on the remaining 20%, repeating k times (Kohavi, 1995). This works when observations are IID, which implies they are exchangeable draws from a stable distribution. Financial time series break that assumption in two ways:","Стандартная k-блочная перекрёстная проверка обучает модель, например, на 80 % случайно выбранных наблюдений и проверяет её на оставшихся 20 %, повторяя процедуру k раз (Kohavi, 1995). Такой подход работает, когда наблюдения являются IID, то есть представляют собой взаимозаменяемые реализации из устойчивого распределения. Финансовые временные ряды нарушают это предположение по двум причинам:",Ordinary spaces were used before percent signs.,Style guide v1.14 requires U+00A0 before % in connected Russian text.,Replace spaces in 80 % and 20 % with non-breaking spaces.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[126],178/137,VERIFIED_CLOSED,CONFIRMED,typographic normalization omitted,,Independent language and structural rechecks passed after integrator cycle 1.,Changed to 80 % and 20 %.,PASS: independent language and deterministic rechecks confirmed U+00A0.,
CH06-ERR-087,2026-08-16,CH06,CH06-BATCH-006,CH06-B0222,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_forms,Medium,"The live procedure is directional. In production, at time t, only information available at or before t can be used. A random split almost always trains on timestamps after the validation point, which means it estimates a procedure that cannot be executed in real time. Nearby observations are also dependent due to autocorrelation and slow-moving regimes, so random shuffling inflates apparent performance.","Рабочая процедура направлена во времени. В промышленной среде в момент t можно использовать только информацию, доступную в момент t или ранее. При случайном разбиении модель почти всегда обучается на наблюдениях с временными метками после точки проверки, а значит, оценивается процедура, которую нельзя выполнить в реальном времени. Кроме того, соседние наблюдения зависимы из-за автокорреляции и медленно меняющихся рыночных режимов, поэтому случайное перемешивание завышает видимое качество.",Approved terms for production and regime were not used.,GL-0218 requires «промышленная среда» here; GL-0089 requires «рыночный режим».,Apply both approved forms.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[127]/*[1],178/137,VERIFIED_CLOSED,CONFIRMED,contextual glossary forms omitted,,Independent language and structural rechecks passed after integrator cycle 1.,Used «в промышленной среде» and «медленно меняющихся рыночных режимов».,PASS: independent language recheck confirmed GL-0218 and GL-0089.,
CH06-ERR-088,2026-08-16,CH06,CH06-BATCH-006,CH06-B0226,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,naturalness,Low,"Walk-forward CV mirrors deployment: fit on a past window, predict on a future window, score, roll forward, and repeat. Figure 6.3 compares k-fold with walk-forward CV. A minimal CV design:","Пошаговая перекрёстная проверка с продвижением во времени (walk-forward CV) имитирует работу после развёртывания: обучите модель на прошлом окне, постройте прогнозы для будущего окна, рассчитайте метрику, продвиньтесь вперёд и повторите. На рисунке 6.3 сопоставляются k-блочная и пошаговая перекрёстная проверка с продвижением во времени. Минимальная схема перекрёстной проверки:",«воспроизводит развёртывание» treated deployment as the action being reproduced.,The source compares validation with operation after deployment.,Use a natural operational comparison.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[130],179/138,VERIFIED_CLOSED,CONFIRMED,lexical calque,,Independent language and structural rechecks passed after integrator cycle 1.,Rephrased as «имитирует работу после развёртывания».,PASS: independent language recheck confirmed the intended comparison.,
CH06-ERR-089,2026-08-16,CH06,CH06-BATCH-006,CH06-B0213,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,inline_spacing,Low,"Evaluation answers a simple question: how will a procedure learned from historical data behave on data it has not seen? We estimate this by testing decisions on data unavailable when those decisions were made. The notebook 01_cv_foundations illustrates these concepts using the ml4t-diagnostic library. The core discipline: separate selection from performance estimation, and enforce a fixed decision time so no future information leaks into training or simulation.","Оценка отвечает на простой вопрос: как процедура, обученная на исторических данных, поведёт себя на данных, которых она не видела? Мы оцениваем это, проверяя решения на данных, недоступных в момент их принятия. В ноутбуке 01_cv_foundations эти понятия иллюстрируются с помощью библиотеки ml4t-diagnostic. Главное правило: отделяйте отбор от оценки эффективности и фиксируйте момент принятия решения, чтобы информация из будущего не проникала в обучение или симуляцию.",Pretty-print whitespace rendered a space before the period after inline code.,Inline code must remain exact while Russian punctuation is displayed without a preceding space.,Move only the punctuation boundary outside the code node and compact formatting whitespace.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[120],178/137,VERIFIED_CLOSED,CONFIRMED,serialization whitespace around inline code,,Independent language and structural rechecks passed after integrator cycle 1.,Preserved exact code and XHTML skeleton; corrected the rendered punctuation boundary.,PASS: deterministic and independent structural rechecks confirmed exact code and target text.,
CH06-ERR-090,2026-08-16,CH06,CH06-BATCH-006,CH06-B0239,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,formula_spacing,Low,"The second condition is a common failure mode. If the label is an h-day forward return, then the label for is not known until . So, training “as of t” must exclude the most recent h timestamps. This is the label buffer (called “purging” by López de Prado, 2018). For example, with 5-trading-day forward-return labels and a five-day trading week, suppose decision time is Tuesday, Feb 10. Then, the latest eligible training timestamp is Tuesday, Feb 3. Interim timestamps are ineligible because their labels have not yet resolved as of Feb 10.","Второе условие часто не выполняется. Если целевая метка представляет собой h-дневную доходность за последующий период, то метка для τ становится известна только в момент τ + h. Поэтому при обучении «на момент t» необходимо исключить h последних временных меток. Это так называемый буфер целевой метки (López de Prado, 2018, называет его «purging»). Например, пусть для целевых меток доходности за последующие 5 торговых дней при пятидневной торговой неделе момент принятия решения приходится на вторник, 10 февраля. Тогда последняя допустимая временная метка обучающих данных — вторник, 3 февраля. Промежуточные временные метки недопустимы, поскольку к 10 февраля соответствующие им целевые метки ещё не стали известны.",Pretty-print whitespace rendered a space before the period after the τ+h formula image.,The formula asset must remain unchanged and punctuation must follow it directly.,Correct only the text boundary while preserving both image paths and anchors.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[137],180/139,VERIFIED_CLOSED,CONFIRMED,serialization whitespace around inline formula image,,Independent language and structural rechecks passed after integrator cycle 1.,Preserved CH06-ASSET-005/006 and moved the punctuation boundary outside the formula image.,PASS: asset-aware deterministic and independent structural rechecks confirmed τ and τ+h.,
