issue_id,chapter_id,block_id,batch_id,stage,severity,category,status,description,evidence,proposed_fix,opened_at,resolved_at,verification
"CH05-QA-0001","CH05","","CH05-BATCH-004","structural_qa","HIGH","pdf_page_mapping","CLOSED","11 incorrect PDF page mappings","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Resolved by evidence-backed metadata overlay; canonical synchronization pending; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-QA-0002","CH05","CH05-B0121–CH05-B0160","CH05-BATCH-004","structural_qa","CRITICAL","target_html","CLOSED","target_html empty in 40/40 rows","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Generated and independently verified 40/40; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-QA-0003","CH05","CH05-B0137,CH05-B0142,CH05-B0155","CH05-BATCH-004","structural_qa","HIGH","visual_coverage","CLOSED","Three adjacent visual nodes unregistered","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Resolved by verified visual_relationships overlay; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-QA-0004","CH05","CH05-B0135,CH05-B0148,CH05-B0160","CH05-BATCH-004","structural_qa","MEDIUM","code_metadata","CLOSED","inline code references lacked code_id policy","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Verified source_code_ref; code_id intentionally unchanged; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0001","CH05","CH05-B0123","CH05-BATCH-004","structural_qa","MAJOR","terminology","CLOSED","supervised loss/supervisor network","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0002","CH05","CH05-B0129","CH05-BATCH-004","structural_qa","MINOR","terminology_style","CLOSED","supervisor/representations terminology","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0003","CH05","CH05-B0130","CH05-BATCH-004","structural_qa","MAJOR","terminology_grammar","CLOSED","supervised losses mistranslated","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0004","CH05","CH05-B0136","CH05-BATCH-004","structural_qa","MINOR","russian_style","CLOSED","ambiguous noun chain","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0005","CH05","CH05-B0139","CH05-BATCH-004","structural_qa","MINOR","terminology_style","CLOSED","cross-asset calque","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0006","CH05","CH05-B0141","CH05-BATCH-004","structural_qa","MAJOR","glossary","CLOSED","Expected Shortfall terminology","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected to approved glossary form and XHTML synchronized; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0007","CH05","CH05-B0148","CH05-BATCH-004","structural_qa","MAJOR","terminology","CLOSED","long-short wording and alpha evidence","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected; alpha=5 confirmed by EPUB/PDF; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0008","CH05","CH05-B0152","CH05-BATCH-004","structural_qa","MAJOR","terminology","CLOSED","rough path theory term","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
"CH05-LQA-0009","CH05","CH05-B0153","CH05-BATCH-004","structural_qa","MINOR","terminology","CLOSED","iterated integrals term","EPUB/PDF/glossary and independent QA","Applied in pilot branch","2026-08-16T00:20:00Z","2026-08-16T15:25:00Z","Corrected and rechecked; final batch commit 4f0800db7aa25646077104055ebff9693bc2788e"
